,x1_high,x2_high,x3_high,x4_high,x5_high,x6_high,x7_high,x8_high,x1_low,x2_low,x3_low,x4_low,x5_low,x6_low,x7_low,x8_low
x1_high,0.0,5.0,29.0,5.0,5.0,32.0,32.0,1.0,0.0,32.0,32.0,30.0,1.0,32.0,32.0,32.0
x2_high,5.0,0.0,27.0,11.0,5.0,32.0,32.0,1.0,32.0,0.0,32.0,30.0,1.0,32.0,32.0,32.0
x3_high,32.0,31.0,0.0,5.0,3.0,32.0,32.0,1.0,32.0,32.0,0.0,30.0,1.0,32.0,32.0,32.0
x4_high,32.0,32.0,13.0,0.0,30.0,32.0,32.0,1.0,32.0,32.0,32.0,0.0,1.0,31.0,31.0,32.0
x5_high,32.0,32.0,32.0,29.0,0.0,32.0,31.0,1.0,32.0,28.0,32.0,31.0,0.0,30.0,32.0,32.0
x6_high,32.0,32.0,32.0,31.0,16.0,0.0,32.0,1.0,32.0,32.0,32.0,32.0,1.0,0.0,32.0,7.0
x7_high,30.0,28.0,32.0,5.0,5.0,32.0,0.0,1.0,32.0,32.0,32.0,32.0,1.0,32.0,0.0,32.0
x8_high,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
x1_low,0.0,32.0,32.0,5.0,32.0,32.0,32.0,1.0,0.0,5.0,32.0,32.0,1.0,6.0,32.0,32.0
x2_low,32.0,0.0,32.0,7.0,32.0,32.0,32.0,1.0,18.0,0.0,32.0,32.0,1.0,6.0,32.0,32.0
x3_low,6.0,6.0,0.0,32.0,5.0,32.0,32.0,1.0,32.0,32.0,0.0,13.0,1.0,7.0,32.0,32.0
x4_low,20.0,16.0,32.0,0.0,32.0,32.0,32.0,1.0,32.0,32.0,32.0,0.0,1.0,32.0,32.0,32.0
x5_low,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
x6_low,30.0,32.0,32.0,32.0,21.0,0.0,17.0,1.0,5.0,21.0,32.0,11.0,1.0,0.0,32.0,32.0
x7_low,32.0,32.0,32.0,5.0,28.0,32.0,0.0,1.0,32.0,32.0,32.0,32.0,1.0,1.0,0.0,32.0
x8_low,32.0,32.0,23.0,32.0,30.0,32.0,32.0,0.0,32.0,26.0,32.0,32.0,1.0,7.0,32.0,0.0
